"alcachofra, cozida, drenada, s/ sal, cynara scolymus",51,"2,89","0,34","0,08","0,00","11,9","5,70","0,00","60,0","0,00",,,
"alcachofra, crua, cynara cardunculus var. scolymus",46,"3,27","0,15","0,04","0,00","10,6","5,40","0,00","94,0","0,00",,,
"alcaparra, conserva, drenada, capparis spinosa",37,"2,36","0,86","0,23","0,00","4,89","0,00",na,2348,"0,00",,,
"alecrim, seco, rosmarinus officinalis",328,"4,88","15,2","7,37","0,00","64,1","42,6","0,00","50,0","0,00",,,
"aletria doce, (macarrão, leite, manteiga, gema de ovo, extrato de baunilha, casca de limão, canela, c/ açúcar)",153,"3,42","5,94","3,01","0,08","20,9","0,51","0,00","42,9","89,0",,,
"alface, americana, crua, lactuca sativa l.",6,"0,41","0,11","0,02","0,00","1,50","1,24","0,00","5,93","0,00",,,
"alface, crespa, crua, lactuca sativa l.",10,"1,35","0,16","0,02","0,00","1,70","1,83","0,00","3,38","0,00",,,
"alface, crua, lactuca sativa l.",9,"1,08","0,12","0,02","0,00","1,79","1,87","0,00","4,20","0,00",,,
"alface, lisa, crua, lactuca sativa l.",13,"1,69","0,12","0,02","0,00","2,43","2,33","0,00","4,23","0,00",,,
"alface, roxa, crua, lactuca sativa l.",11,"0,91","0,19","0,01","0,00","2,49","2,01","0,00","7,12","0,00",,,
"alfavaca, crua, ocimum basilicum l.",28,"2,66","0,48","0,16","0,00","5,24","4,14","0,00","4,55","0,00",,,
"alga, ágar ágar, em pó",336,"6,21","0,30","0,06","0,00","80,9","7,70","0,00",102,"0,00",,,
"algodão, doce",402,"0,00","0,32","0,00","0,00","99,7","0,00",na,"1,00","0,00",,,
"alho, cozido, s/ óleo, s/ sal, allium sativum",121,"5,70","0,20","0,04","0,00","25,8","3,19","0,00","5,43","0,00",,,
"alho, cru, allium sativum l.",121,"5,70","0,20","0,04","0,00","25,8","3,19","0,00","5,43","0,00",,,
"alho, em pó, allium sativum l.",346,"16,6","0,73","0,25","0,00","72,7","9,00","0,00","60,0","0,00",,,
"alho, refogado (c/ óleo de soja), s/ sal, allium sativum",433,"8,09","29,3","4,46","0,00","36,6","4,54","0,00","7,70","0,00",,,
"alho-poró, cozido, drenado, s/ óleo, s/ sal, allium ampeloprasum l. var. porrum",34,"0,81","0,20","0,03",na,"7,62","1,00","0,00","10,00","0,00",,,
"alho-poró, cru, allium ampeloprasum l. var. porrum",29,"1,41","0,14","0,02","0,00","6,88","2,51","0,00","1,76","0,00",,,
"alichela, caseira, (peixe, água salgada, nchova (aliche), salsinha, alho, pimenta do reino, c/ azeite de oliva, s/ sal)",318,"18,9","26,2","4,37","0,00","1,84","0,55",na,2313,"53,6",,,
"almeirão, cozido, drenado, s/ óleo, c/ sal",19,"1,84","0,30","0,07","0,00","3,92","3,13","0,00",129,"0,00",,,
"almeirão, cozido, drenado, s/ óleo, s/ sal",21,"1,84","0,30","0,07","0,00","4,24","3,13","0,00","2,13","0,00",,,
"almeirão, cru, cichorium intybus",20,"1,78","0,29","0,07","0,00","4,12","3,04","0,00","2,76","0,00",,,
"almeirão, refogado (c/ óleo, cebola e alho), c/ sal",86,"1,68","7,20","1,19","0,06","6,15","5,07","0,00",145,"0,00",,,
"almeirão, refogado (c/ óleo, cebola e alho), s/ sal, cichorium intybus",86,"1,68","7,20","1,19","0,06","6,15","5,07","0,00","17,7","0,00",,,
"almôndega de soja, assada, c/ molho de tomate, c/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, salsinha e cebolinha, pimenta-do-reino, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal)",155,"16,5","2,11","0,44","0,00","19,5","3,92","0,00",291,"10,2",,,
"almôndega de soja, assada, c/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, c/ sal)",189,"22,8","0,77","0,28","0,00","25,0","4,50","0,00",422,"14,6",,,
"almôndega de soja, assada, s/ sal, (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, s/ sal)",189,"22,8","0,77","0,28","0,00","25,0","4,51","0,00",242,"14,6",,,
"almôndega, ao sugo (molho de tomate), (carne, boi, frita, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal)",194,"11,6","11,6","2,84","0,13","11,3","1,02",na,779,"21,8",,,
"almôndega, carne bovina, grelhada, caseira, c/ sal, (carne bovina moída patinho, farinha de rosca, salsinha e cebolinha, pimenta do reino, cebola, c/ óleo de soja, c/ sal)",245,"30,2","10,1","3,21","0,12","8,57","0,64","0,45",262,101,,,
"almôndega, carne bovina, grelhada, caseira, s/ sal, (carne bovina moída patinho, farinha de rosca, salsinha e cebolinha, pimenta do reino, cebola, c/ óleo de soja, s/ sal)",245,"30,3","10,1","3,21","0,12","8,72","0,70","0,00","82,8",101,,,
"almôndega, carne, ave, industrializada, crua, c/ sal",202,"12,8","13,6","3,86","0,11","7,09",na,na,688,144,,,
