"Substituto de Chantilly, dietetico, feito de mistura em po",100,0.9,6,10.6,0,0
"Queijo, cottage, com vegetais",95,10.9,4.2,3,0.1,14
"Queijo, pasteurizado, americano, baixo teor de gordura",180,24.6,7,3.5,0,35
"Queijo processado, base de cream cheese",295,7.1,28.6,3.5,0,90
"Queijo, cheddar americano, imitacao",239,16.7,14,11.6,0,36
"Queijo, parmesao, baixo teor de sodio",451,41.6,29.99,3.7,0,79
"Queijo, cottage, pobre em gordura, 1% gordura, sem sodio",72,12.4,1,2.7,0,4
"Queijo, pasteurizado, suico, baixo teor de gordura",165,25.5,5.1,4.3,0,35
"Queijo, pasteurizado, cheddar ou americano, pobre em sodio",376,22.2,31.19,1.6,0,94
"Queijo, suico, pobre em sodio",374,28.4,27.4,3.4,0,92
"Leite, imitacao, sem soja",46,1.6,2,5.3,0,0
"Queito, suico, magro",179,28.4,5.1,3.4,0,35
"Condimento, pimenta-da-jamaica, moido",263,6.09,8.69,72.12,21.6,0
"Condimento, semente de anis",337,17.6,15.9,50.02,14.6,0
"Condimento, manjericao, seco",233,22.98,4.07,47.75,37.7,0
"Condimento, louro",313,7.61,8.36,74.97,26.3,0
"Condimento, semente de cominho",333,19.77,14.59,49.9,38,0
"Condimento, cardamomo",311,10.76,6.7,68.47,28,0
"Condimento, semente de aipo",392,18.07,25.27,41.35,11.8,0
"Condimento, cerefolio, seco",237,23.2,3.9,49.1,11.3,0
"Condimento, pimenta, po",282,13.46,14.28,49.7,34.8,0
"Condimento, canela, po",247,3.99,1.24,80.59,53.1,0
"Condimento, cravo-da-india, moido",274,5.97,13,65.53,33.9,0
"Condimento, folha de coentro, seca",279,21.93,4.78,52.1,10.4,0
"Condimento, semente de coentro",298,12.37,17.77,54.99,41.9,0
"Condimento, semente de cominho",375,17.81,22.27,44.24,10.5,0
"Condimento, curry, po",325,14.29,14.01,55.83,53.2,0
"Condimento, semente de endro",305,15.98,14.54,55.17,21.1,0
"Condimento, endro, desidratado",253,19.96,4.36,55.82,13.6,0
"Condimento, semente de erva-doce",345,15.8,14.87,52.29,39.8,0
"Condimento, sementes de feno-grego (alforvas)",323,23,6.41,58.35,24.6,0
"Condimento, alho em po",331,16.55,0.73,72.73,9,0
"Condimento, gengibre, moido",335,8.98,4.24,71.62,14.1,0
"Condimento, flor de noz-moscada, moida",475,6.71,32.38,50.5,20.2,0
"Condimento, manjerona, seca",271,12.66,7.04,60.56,40.3,0
"Condimento, semente de mostarda, moida",508,26.08,36.24,28.09,12.2,0
"Condimento, noz-moscada, moida",525,5.84,36.31,49.29,20.8,0
"Condimento, cebola em po",341,10.41,1.04,79.12,15.2,0
"Condimento, oregano, moido",265,9,4.28,68.92,42.5,0
"Condimento, paprica",282,14.14,12.89,53.99,34.9,0
"Condimento, salsinha, desidratada",292,26.63,5.48,50.64,26.7,0
"Condimento, pimenta do reino",251,10.39,3.26,63.95,25.3,0
"Condimento, pimenta, vermelha ou caiena",318,12.01,17.27,56.63,27.2,0
"Condimento, pimenta, branca",296,10.4,2.12,68.61,26.2,0
"Condimento, semente de papoula",525,17.99,41.56,28.13,19.5,0
Tempero para torta de abobora,342,5.76,12.6,69.28,14.8,0
Tempero para torta de abobora,342,5.76,12.6,69.28,14.8,0
"Condimento, alecrim, seco",331,4.88,15.22,64.06,42.6,0
"Condimento, acafrao",310,11.43,5.85,65.37,3.9,0
"Condimento, salvia, moida",315,10.63,12.75,60.73,40.3,0
"Condimento, segurelha, moida",272,6.73,5.91,68.73,45.7,0
"Condimento, estragao, seco",295,22.77,7.24,50.22,7.4,0
"Condimento, tomilho, seco",276,9.11,7.43,63.94,37,0
"Condimento, acafrao-da-india, moido",312,9.68,3.25,67.14,22.7,0
"Manjericao, fresco",23,3.15,0.64,2.65,1.6,0
"Endro, fresco",43,3.46,1.12,7.02,2.1,0
"Mostarda, pronta, amarela",67,4.37,4.01,5.33,3.3,0
"Sal, cozinha",0,0,0,0,0,0
"Vinagre, cidra",21,0,0,0.93,0,0
"Tomilho, fresco",101,5.56,1.68,24.45,14,0
Extrato de baunilha,288,0.06,0.06,12.65,0,0
"Extrato de baunilha, artificial, com alcool",237,0.05,0,2.41,0,0
"Extrato de baunilha, artificial, sem alcool",56,0.03,0,14.4,0,0
"Vinagre, destilado",18,0,0,0.04,0,0
"Alcaparra, enlatada",23,2.36,0.86,4.89,3.2,0
"Rabano, pronto",48,1.18,0.69,11.29,3.3,0
"Alecrim, fresco",131,3.31,5.86,20.7,14.1,0
"Hortela-pimenta, fresco",70,3.75,0.94,14.89,8,0
"Hortela, fresco",44,3.29,0.73,8.41,6.8,0
"Hortela, po",285,19.93,6.03,52.04,29.8,0
"Vinagre, de vinho",19,0.04,0,0.27,0
"Vinagre, balsamico",88,0.49,0,17.03
"Tempero, seco, PACE, Taco mix",188,0,0,56.29,18.8,0
"Tempero composto, seco, SAZON, coentro e urucum",0,0,0,0,0,0
"Tempero composto, seco, Taco, original",322,4.5,0,58,13.3,0
"Tempero composto, seco, chili, original",335,10.82,7.3,56.56,10.8,0
"Alimento para bebes, de 1 a 2 anos, suco especial, mix de frutas",347,0,0.02,86.68,0,0
"Alimento para bebes, de 6 a 8 meses, carne, bovina",81,12.03,2.52,2.43,0,51
"Alimento para bebes, de 9 a 12 meses, carne, bovina",81,12.03,2.52,2.43,0,51
"Alimento para bebes, de 6 a 8 meses, carne, vitela",81,13.12,2.45,1.51,0,33
"Alimento para bebes, de 6 a 8 meses, carne, porco",124,14,7.1,0,0,48
"Alimento para bebes, de 6 a 8 meses, carne, presunto",97,11.3,3.8,3.7,0,24
"Alimento para bebes, de 9 a 12 meses, carne, presunto,",97,11.3,3.8,3.7,0,29
"Alimento para bebes, de 6 a 8 meses, carne, cordeiro",87,14.07,3.41,0.85,0,36
"Alimento para bebes, de 9 a 12 meses, carne, cordeiro",112,15.2,5.2,0,0,38
"Alimento para bebes, de 6 a 8 meses, carne, frango",130,13.7,7.9,0.1,0,61
"Alimento para bebes, de 9 a 12 meses, carne, frango",146,14,9.6,0,0,59
"Alimento para bebes, de 9 a 12 meses, carne, tiras de frango",188,14.6,14.4,1.5,0.2,78
"Alimento para bebes, de 6 a 8 meses, carne, peru",111,11.5,6.2,1.4,0,58
"Alimento para bebes, de 9 a 12 meses, carne, peru",111,11.5,6.2,1.4,0,58
"Alimento para bebes, de 9 a 12 meses, carne, tiras de peru",188,13.7,14.2,1.4,0.5,65
"Alimento para bebes, de 9 a 12 meses, carne, tiras de carne",184,13.4,14.6,1.1,0.2,70
"Alimento para bebes, de 6 a 8 meses, jantar, vegetais, massa e carne bovina",48,2,0.9,7.7
"Alimento para bebes, de 9 a 12 meses, jantar, vegetais com massa e carne bovina",48,2.1,0.8,8
"Alimento para bebes, de 1 a 2 anos, jantar, lasanha a bolonhesa",77,4.2,2.1,10
"Alimento para bebes, de 6 a 8 meses, jantar, macarrao, tomate e carne bovina",61,2.36,1.47,9.45,1.2,7
"Alimento para bebes, de 9 a 12 meses, jantar, macarrao com tomate e carne",59,2.5,1.1,9.4,1.1,4
"Alimento para bebes, ravioli, com queijo, com molho de tomate",99,3.6,2.2,16.3,0.1,7
"Alimento para bebes, de 6 a 8 meses, jantar, sopa de carne, macarrao talharim",63,2.44,2.26,8.18,1.3,8
"Alimento para bebes, de 1 a 2 anos, macarrao e queijo",82,3.5,2.6,11.2,0.5,7
"Alimento para bebes, de 1 a 2 anos, jantar, carne bovina e arroz",82,5,2.9,8.8
"Alimento para bebes, de 9 a 12 meses, jantar, macarrao tipo espaguete com tomate e carne",68,2.57,1.37,11.42,1.1,5
"Alimento para bebes, de 1 a 2 anos, jantar, macarrao tipo espaguete com tomate e carne",75,5.3,1,10.8
"Alimento para bebes, de 1 a 2 anos, jantar, carne bovina ensopada",51,5.1,1.2,5.5,1.1,13
"Alimento para bebes, de 6 a 8 meses, jantar,vegetais e carne bovina",77,2.21,3.6,8.84,1.3,7
"Alimento para bebes, de 9 a 12 meses, jantar, vegetais e carne bovina",77,2.21,3.6,8.84,1.3,7
"Alimento para bebes, jantar, carne bovina com vegetais",96,2.03,6.93,6.36,1.8,12
"Alimento para bebes, de 6 a 8 meses, jantar, vegetais e bacon",69,1.92,2.95,8.81,1.7,4
"Alimento para bebes, de 6 a 8 meses, vegetais e presunto",59,2.19,2.14,7.8,1.6,5
"Alimento para bebes, de 9 a 12 meses, jantar, vegetais e preseunto",60,2.02,1.89,8.64,1,3
"Alimento para bebes, de 6 a 8 meses, jantar, vegetais e carne, cordeiro",52,2,2,6.9,1.1,6
